hotel_name,locality,price,rating,score,review,link
Hotel Blue Pearl - Free Airport Pick up,"Paharganj, New Delhi (Chandni Chowk)","2,880",Very Good,8.2,"3,450",https://www.booking.com/hotel/in/blue-pearl.html?label=gen173rf-10CAEoggI46AdIM1gDaGyIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGiAgpnaXRodWIuY29tqAIBuAKWtuTHBsACAdICJGU3YmFhOTNlLTVlODItNDYyNC05ZTAzLTM2MzJkYmQ4NzEzYtgCAeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&dest_id=-2106102&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=67c48efbe99202c8&srepoch=1761164407&all_sr_blocks=74201710_418938529_2_41_0_1172736&highlighted_blocks=74201710_418938529_2_41_0_1172736&matching_block_id=74201710_418938529_2_41_0_1172736&sr_pri_blocks=74201710_418938529_2_41_0_1172736_288000&from=searchresults
Airport La Sapphire Hotel & Restaurant,"Mahipalpur, New Delhi","3,060",Very Good,8.3,"1,169",https://www.booking.com/hotel/in/la-sapphire-amp-restuarant.html?label=gen173rf-10CAEoggI46AdIM1gDaGyIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGiAgpnaXRodWIuY29tqAIBuAKWtuTHBsACAdICJGU3YmFhOTNlLTVlODItNDYyNC05ZTAzLTM2MzJkYmQ4NzEzYtgCAeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&dest_id=-2106102&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&srpvid=67c48efbe99202c8&srepoch=1761164407&all_sr_blocks=1138260201_423106115_2_2_0_900959&highlighted_blocks=1138260201_423106115_2_2_0_900959&matching_block_id=1138260201_423106115_2_2_0_900959&sr_pri_blocks=1138260201_423106115_2_2_0_900959_306000&from=searchresults
Hotel Red Castle - Karol Bagh - Where luxury meets comfort,"Karol bagh, New Delhi","3,214",Very Good,8.5,626,https://www.booking.com/hotel/in/red-castle-new-delhi.html?label=gen173rf-10CAEoggI46AdIM1gDaGyIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGiAgpnaXRodWIuY29tqAIBuAKWtuTHBsACAdICJGU3YmFhOTNlLTVlODItNDYyNC05ZTAzLTM2MzJkYmQ4NzEzYtgCAeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&dest_id=-2106102&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&srpvid=67c48efbe99202c8&srepoch=1761164407&all_sr_blocks=783447601_337820426_2_42_0_712406&highlighted_blocks=783447601_337820426_2_42_0_712406&matching_block_id=783447601_337820426_2_42_0_712406&sr_pri_blocks=783447601_337820426_2_42_0_712406_321400&from=searchresults
Holiday Inn New Delhi Aerocity by IHG,"Aerocity, New Delhi (Aerocity)","15,663",Wonderful,9.1,"7,475",https://www.booking.com/hotel/in/holiday-inn-new-delhi-international-airport.html?label=gen173rf-10CAEoggI46AdIM1gDaGyIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGiAgpnaXRodWIuY29tqAIBuAKWtuTHBsACAdICJGU3YmFhOTNlLTVlODItNDYyNC05ZTAzLTM2MzJkYmQ4NzEzYtgCAeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&dest_id=-2106102&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&srpvid=67c48efbe99202c8&srepoch=1761164407&all_sr_blocks=76970657_94506140_2_42_0&highlighted_blocks=76970657_94506140_2_42_0&matching_block_id=76970657_94506140_2_42_0&sr_pri_blocks=76970657_94506140_2_42_0__1566300&from=searchresults
Hotel Namaste Hindustan Just a Minute Away From New Delhi Railway Station and Connaught place,"Paharganj, New Delhi (Chandni Chowk)","5,775",Excellent,8.9,"1,615",https://www.booking.com/hotel/in/namaste-hindustan-just-a-minute-away-from-new-delhi-railway-station.html?label=gen173rf-10CAEoggI46AdIM1gDaGyIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGiAgpnaXRodWIuY29tqAIBuAKWtuTHBsACAdICJGU3YmFhOTNlLTVlODItNDYyNC05ZTAzLTM2MzJkYmQ4NzEzYtgCAeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&dest_id=-2106102&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=67c48efbe99202c8&srepoch=1761164407&all_sr_blocks=1295786401_403190738_2_42_0_1209731&highlighted_blocks=1295786401_403190738_2_42_0_1209731&matching_block_id=1295786401_403190738_2_42_0_1209731&sr_pri_blocks=1295786401_403190738_2_42_0_1209731_577500&from=searchresults
"Hotel The Pearl, City Center - Traveler's Choice Award Winner for 2025","Paharganj, New Delhi (Chandni Chowk)","5,464",Very Good,8.3,227,https://www.booking.com/hotel/in/the-pearl-new-delhi2.html?label=gen173rf-10CAEoggI46AdIM1gDaGyIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGiAgpnaXRodWIuY29tqAIBuAKWtuTHBsACAdICJGU3YmFhOTNlLTVlODItNDYyNC05ZTAzLTM2MzJkYmQ4NzEzYtgCAeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&dest_id=-2106102&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=16&sr_order=popularity&srpvid=67c48efbe99202c8&srepoch=1761164407&all_sr_blocks=1028858501_415231906_2_41_0_850065&highlighted_blocks=1028858501_415231906_2_41_0_850065&matching_block_id=1028858501_415231906_2_41_0_850065&sr_pri_blocks=1028858501_415231906_2_41_0_850065_546419&from=searchresults
Hotel Tripple Tree - Karol Bagh,"Karol bagh, New Delhi","3,604",Excellent,8.6,987,https://www.booking.com/hotel/in/tripple-tree-new-delhi.html?label=gen173rf-10CAEoggI46AdIM1gDaGyIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGiAgpnaXRodWIuY29tqAIBuAKWtuTHBsACAdICJGU3YmFhOTNlLTVlODItNDYyNC05ZTAzLTM2MzJkYmQ4NzEzYtgCAeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&dest_id=-2106102&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=17&sr_order=popularity&srpvid=67c48efbe99202c8&srepoch=1761164407&all_sr_blocks=812670201_362472635_2_42_0_712419&highlighted_blocks=812670201_362472635_2_42_0_712419&matching_block_id=812670201_362472635_2_42_0_712419&sr_pri_blocks=812670201_362472635_2_42_0_712419_360355&from=searchresults
The Shanti Plaza - Traveler's choice awarded 2025,"Paharganj, New Delhi (Chandni Chowk)","3,120",Excellent,8.6,537,https://www.booking.com/hotel/in/shanti-plaza.html?label=gen173rf-10CAEoggI46AdIM1gDaGyIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGiAgpnaXRodWIuY29tqAIBuAKWtuTHBsACAdICJGU3YmFhOTNlLTVlODItNDYyNC05ZTAzLTM2MzJkYmQ4NzEzYtgCAeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&dest_id=-2106102&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=18&sr_order=popularity&srpvid=67c48efbe99202c8&srepoch=1761164407&all_sr_blocks=213208105_418340468_2_41_0_825884&highlighted_blocks=213208105_418340468_2_41_0_825884&matching_block_id=213208105_418340468_2_41_0_825884&sr_pri_blocks=213208105_418340468_2_41_0_825884_312000&from=searchresults
Hotel Baba Deluxe near New Delhi Railway Station and City Center -By RCG Hotels,"Paharganj, New Delhi (Chandni Chowk)","2,304",Very Good,8.4,"2,258",https://www.booking.com/hotel/in/baba-deluxe.html?label=gen173rf-10CAEoggI46AdIM1gDaGyIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGiAgpnaXRodWIuY29tqAIBuAKWtuTHBsACAdICJGU3YmFhOTNlLTVlODItNDYyNC05ZTAzLTM2MzJkYmQ4NzEzYtgCAeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&dest_id=-2106102&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=19&sr_order=popularity&srpvid=67c48efbe99202c8&srepoch=1761164407&all_sr_blocks=25467408_377846126_2_42_0&highlighted_blocks=25467408_377846126_2_42_0&matching_block_id=25467408_377846126_2_42_0&sr_pri_blocks=25467408_377846126_2_42_0__230400&from=searchresults
"Hotel Bricks, Karol Bagh, New Delhi","Karol bagh, New Delhi","2,399",Very Good,8.3,"1,002",https://www.booking.com/hotel/in/bricks-karol-bagh-new-delhi1.html?label=gen173rf-10CAEoggI46AdIM1gDaGyIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGiAgpnaXRodWIuY29tqAIBuAKWtuTHBsACAdICJGU3YmFhOTNlLTVlODItNDYyNC05ZTAzLTM2MzJkYmQ4NzEzYtgCAeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&dest_id=-2106102&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=20&sr_order=popularity&srpvid=67c48efbe99202c8&srepoch=1761164407&all_sr_blocks=816128401_352216591_2_2_0&highlighted_blocks=816128401_352216591_2_2_0&matching_block_id=816128401_352216591_2_2_0&sr_pri_blocks=816128401_352216591_2_2_0__239940&from=searchresults
The Pearl Plaza Hotel - Walking Distance From New Delhi Railway Station and Connaught Place,"Paharganj, New Delhi (Chandni Chowk)","2,176",Excellent,8.6,309,https://www.booking.com/hotel/in/pearl-plaza-boutique.html?label=gen173rf-10CAEoggI46AdIM1gDaGyIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGiAgpnaXRodWIuY29tqAIBuAKWtuTHBsACAdICJGU3YmFhOTNlLTVlODItNDYyNC05ZTAzLTM2MzJkYmQ4NzEzYtgCAeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&dest_id=-2106102&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=21&hapos=21&sr_order=popularity&srpvid=67c48efbe99202c8&srepoch=1761164407&all_sr_blocks=1233265801_395282871_2_42_0_761394&highlighted_blocks=1233265801_395282871_2_42_0_761394&matching_block_id=1233265801_395282871_2_42_0_761394&sr_pri_blocks=1233265801_395282871_2_42_0_761394_217568&from=searchresults
Hotel Armani Free Airport Pickup Aur Drop,"Aerocity, New Delhi (Aerocity)","2,999",Wonderful,9.0,158,https://www.booking.com/hotel/in/smart-armani.html?label=gen173rf-10CAEoggI46AdIM1gDaGyIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGiAgpnaXRodWIuY29tqAIBuAKWtuTHBsACAdICJGU3YmFhOTNlLTVlODItNDYyNC05ZTAzLTM2MzJkYmQ4NzEzYtgCAeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&dest_id=-2106102&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=22&hapos=22&sr_order=popularity&srpvid=67c48efbe99202c8&srepoch=1761164407&all_sr_blocks=1372275702_409644495_2_42_0&highlighted_blocks=1372275702_409644495_2_42_0&matching_block_id=1372275702_409644495_2_42_0&sr_pri_blocks=1372275702_409644495_2_42_0__299925&from=searchresults
Hotel Grand Plaza in City Centre - Walking Distance From New Delhi Railway Station and Connaught Place,"Paharganj, New Delhi (Chandni Chowk)","3,612",Excellent,8.8,201,https://www.booking.com/hotel/in/grand-plaza.html?label=gen173rf-10CAEoggI46AdIM1gDaGyIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGiAgpnaXRodWIuY29tqAIBuAKWtuTHBsACAdICJGU3YmFhOTNlLTVlODItNDYyNC05ZTAzLTM2MzJkYmQ4NzEzYtgCAeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&dest_id=-2106102&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=23&hapos=23&sr_order=popularity&srpvid=67c48efbe99202c8&srepoch=1761164407&all_sr_blocks=34048501_408385226_0_42_0&highlighted_blocks=34048501_408385226_0_42_0&matching_block_id=34048501_408385226_0_42_0&sr_pri_blocks=34048501_408385226_0_42_0__361158&from=searchresults
Hindustan By Backpackers Heaven - Traveller's Choice Award 2025 Best of Best Winning Hotel,"Paharganj, New Delhi (Chandni Chowk)","2,576",Very Good,8.2,"1,528",https://www.booking.com/hotel/in/hindustan-international-dx-new-delhi.html?label=gen173rf-10CAEoggI46AdIM1gDaGyIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGiAgpnaXRodWIuY29tqAIBuAKWtuTHBsACAdICJGU3YmFhOTNlLTVlODItNDYyNC05ZTAzLTM2MzJkYmQ4NzEzYtgCAeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&dest_id=-2106102&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=24&hapos=24&sr_order=popularity&srpvid=67c48efbe99202c8&srepoch=1761164407&all_sr_blocks=310940918_353533486_2_42_0_576886&highlighted_blocks=310940918_353533486_2_42_0_576886&matching_block_id=310940918_353533486_2_42_0_576886&sr_pri_blocks=310940918_353533486_2_42_0_576886_257600&from=searchresults
The IVY Grand Hotel - 5 Minutes from Connaught Place and New Delhi Railway Station With Free Secured Parking,"Paharganj, New Delhi (Chandni Chowk)","3,600",Very Good,8.5,714,https://www.booking.com/hotel/in/the-ivy-grand.html?label=gen173rf-10CAEoggI46AdIM1gDaGyIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGiAgpnaXRodWIuY29tqAIBuAKWtuTHBsACAdICJGU3YmFhOTNlLTVlODItNDYyNC05ZTAzLTM2MzJkYmQ4NzEzYtgCAeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&dest_id=-2106102&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=67c48efbe99202c8&srepoch=1761164407&all_sr_blocks=788688401_352060512_2_42_0_799232&highlighted_blocks=788688401_352060512_2_42_0_799232&matching_block_id=788688401_352060512_2_42_0_799232&sr_pri_blocks=788688401_352060512_2_42_0_799232_359960&from=searchresults
